shape	pair	variant	throughput_gbps	rss_start	rss_end	rss_delta	rss_peak
multi-tcp-sink-2-50-software	0	baseline	5.422	10432512	12201984	+1769472	12201984
multi-tcp-sink-2-50-software	0	candidate	5.387	10432512	12201984	+1769472	12201984
multi-tcp-sink-2-50-software	1	baseline	5.408	10452992	12222464	+1769472	12222464
multi-tcp-sink-2-50-software	1	candidate	5.330	10448896	12218368	+1769472	12218368
multi-tcp-sink-2-50-software	2	candidate	5.394	10448896	12218368	+1769472	12218368
multi-tcp-sink-2-50-software	2	baseline	5.348	10448896	12218368	+1769472	12218368
multi-tcp-sink-2-50-software	3	baseline	5.446	10440704	12210176	+1769472	12210176
multi-tcp-sink-2-50-software	3	candidate	5.380	10448896	12218368	+1769472	12218368
multi-tcp-sink-2-50-software	4	candidate	5.418	10448896	12218368	+1769472	12218368
multi-tcp-sink-2-50-software	4	baseline	5.462	10448896	12218368	+1769472	12218368
multi-tcp-sink-2-50-software	5	baseline	5.158	10448896	12218368	+1769472	12218368
multi-tcp-sink-2-50-software	5	candidate	5.193	10448896	12218368	+1769472	12218368
idle-hot-1000-10-software	0	baseline	0.811	4247552	4591616	+344064	4591616
idle-hot-1000-10-software	0	candidate	0.815	4247552	4591616	+344064	4591616
idle-hot-1000-10-software	1	baseline	0.827	4247552	4591616	+344064	4591616
idle-hot-1000-10-software	1	candidate	0.828	4231168	4575232	+344064	4575232
idle-hot-1000-10-software	2	candidate	0.827	4243456	4587520	+344064	4587520
idle-hot-1000-10-software	2	baseline	0.815	4243456	4587520	+344064	4587520
idle-hot-1000-10-software	3	baseline	0.815	4247552	4591616	+344064	4591616
idle-hot-1000-10-software	3	candidate	0.824	4247552	4591616	+344064	4591616
idle-hot-1000-10-software	4	candidate	0.818	4243456	4587520	+344064	4587520
idle-hot-1000-10-software	4	baseline	0.811	4243456	4587520	+344064	4587520
idle-hot-1000-10-software	5	baseline	0.810	4247552	4591616	+344064	4591616
idle-hot-1000-10-software	5	candidate	0.802	4247552	4591616	+344064	4591616
idle-hot-1000-10-offload	0	baseline	0.848	4235264	4579328	+344064	4579328
idle-hot-1000-10-offload	0	candidate	0.862	4243456	4587520	+344064	4587520
idle-hot-1000-10-offload	1	baseline	0.863	4235264	4579328	+344064	4579328
idle-hot-1000-10-offload	1	candidate	0.861	4243456	4587520	+344064	4587520
idle-hot-1000-10-offload	2	candidate	0.856	4243456	4587520	+344064	4587520
idle-hot-1000-10-offload	2	baseline	0.851	4247552	4591616	+344064	4591616
idle-hot-1000-10-offload	3	baseline	0.825	4235264	4579328	+344064	4579328
idle-hot-1000-10-offload	3	candidate	0.842	4239360	4583424	+344064	4583424
idle-hot-1000-10-offload	4	candidate	0.841	4243456	4587520	+344064	4587520
idle-hot-1000-10-offload	4	baseline	0.850	4247552	4591616	+344064	4591616
idle-hot-1000-10-offload	5	baseline	0.865	4247552	4591616	+344064	4591616
idle-hot-1000-10-offload	5	candidate	0.844	4235264	4579328	+344064	4579328
